elapsed_sec;best_cost;iter
47.190;34862.00;0
48.285;34862.00;3
49.465;34862.00;8
50.470;34862.00;11
51.630;34862.00;15
52.767;34862.00;19
54.001;34770.00;23
55.071;34504.00;26
56.143;34504.00;30
57.291;34504.00;33
58.547;34504.00;37
59.790;34504.00;42
60.875;34504.00;46
61.926;34504.00;50
63.183;34504.00;54
64.407;34265.00;58
65.540;34265.00;62
66.709;34265.00;66
67.863;34265.00;69
69.039;34265.00;73
70.042;34265.00;77
71.051;34265.00;80
72.262;34265.00;84
73.378;34265.00;88
74.618;34265.00;93
75.805;34265.00;98
76.889;34265.00;102
78.000;34265.00;106
79.327;34265.00;110
80.351;34265.00;113
81.582;34265.00;117
82.661;34265.00;121
83.729;34265.00;125
84.740;34265.00;129
85.899;34265.00;133
87.190;34265.00;139
88.391;34265.00;144
89.562;34265.00;151
90.655;34265.00;157
91.731;34265.00;162
92.854;34265.00;167
93.870;34265.00;171
95.074;34259.00;176
96.231;34152.00;181
97.596;34152.00;187
98.897;34152.00;192
100.105;34152.00;196
101.153;34152.00;200
102.506;34152.00;205
103.683;34152.00;209
104.726;34152.00;214
105.857;34152.00;219
106.934;34152.00;224
108.169;34152.00;229
109.353;34152.00;233
110.469;34152.00;237
111.693;34152.00;243
112.696;34152.00;248
113.737;34152.00;254
114.826;34152.00;259
115.934;34152.00;264
116.970;34152.00;271
118.021;34152.00;276
119.202;34152.00;282
120.231;34152.00;287
121.491;34152.00;293
122.765;34152.00;298
123.806;34152.00;303
125.217;34152.00;308
126.298;34152.00;311
127.428;34152.00;318
128.546;34152.00;322
129.845;34152.00;326
130.945;34152.00;329
132.105;34152.00;334
133.381;34152.00;340
134.543;34152.00;345
135.677;34152.00;350
136.854;34152.00;354
137.866;34152.00;358
139.031;34152.00;362
140.098;34152.00;367
141.207;34152.00;371
142.290;34152.00;376
143.368;34136.00;382
144.595;34136.00;387
145.627;34099.00;392
146.776;34099.00;398
148.006;34099.00;403
149.299;34099.00;409
150.509;34099.00;412
151.539;34099.00;415
152.778;34099.00;420
153.956;34099.00;425
155.081;34099.00;431
156.107;34099.00;436
157.168;34099.00;441
158.234;34099.00;446
159.309;34099.00;450
160.497;33985.00;456
161.707;33985.00;461
162.727;33985.00;466
163.923;33985.00;470
165.057;33985.00;474
166.145;33985.00;478
167.202;33970.00;483
168.418;33961.00;487
169.434;33961.00;493
170.543;33961.00;497
171.667;33961.00;501
172.908;33961.00;505
174.013;33961.00;509
175.228;33961.00;513
176.272;33961.00;518
177.336;33961.00;522
178.341;33961.00;526
179.549;33961.00;530
180.712;33961.00;534
181.845;33961.00;538
183.079;33961.00;541
184.283;33961.00;547
185.397;33961.00;551
186.398;33961.00;555
187.485;33961.00;558
188.777;33961.00;564
189.903;33961.00;569
190.948;33961.00;573
191.956;33957.00;577
193.086;33957.00;582
194.238;33957.00;587
195.524;33957.00;593
196.776;33957.00;598
197.920;33876.00;604
199.034;33876.00;608
200.060;33876.00;612
201.133;33876.00;617
202.223;33876.00;622
203.399;33876.00;628
204.423;33876.00;634
