elapsed_sec;best_cost;iter
110.367;34894.00;0
112.196;34894.00;2
113.802;34894.00;5
115.226;34894.00;7
116.936;34894.00;9
118.574;34894.00;11
119.988;34894.00;14
121.285;34894.00;16
122.293;34894.00;17
123.681;34894.00;19
125.354;34644.00;21
126.914;34644.00;24
128.501;34644.00;26
129.670;34644.00;28
130.866;34644.00;30
132.597;34644.00;32
134.054;34644.00;34
135.733;34644.00;36
137.393;34644.00;39
138.597;34376.00;42
139.948;34376.00;44
141.610;34376.00;46
142.852;34376.00;48
144.078;34376.00;51
145.362;34376.00;53
146.629;34282.00;56
147.895;34282.00;58
149.436;34282.00;60
150.870;34282.00;63
152.186;34282.00;65
153.678;34282.00;68
155.070;34282.00;70
156.672;34282.00;72
158.463;34282.00;74
159.880;34282.00;77
161.190;34282.00;79
162.285;34282.00;80
163.404;34282.00;82
164.488;34282.00;83
165.891;34282.00;85
166.965;34282.00;87
168.587;34282.00;90
170.162;34282.00;92
171.192;34282.00;94
172.496;34282.00;96
174.105;34282.00;99
175.732;34282.00;102
177.272;34282.00;104
178.504;34282.00;106
179.699;34282.00;108
181.334;34282.00;111
182.651;34282.00;113
184.215;34282.00;115
185.448;34282.00;117
187.012;34282.00;120
188.702;34282.00;122
190.165;34282.00;124
191.435;34282.00;126
193.157;34282.00;129
194.737;34282.00;131
196.025;34282.00;133
197.287;34282.00;136
198.733;34282.00;138
200.053;34282.00;140
201.692;34282.00;142
202.956;34282.00;146
204.086;34282.00;148
205.358;34282.00;152
206.755;34282.00;155
207.766;34282.00;157
209.550;34282.00;160
210.990;34282.00;163
212.321;34282.00;166
213.582;34282.00;168
214.835;34282.00;170
215.900;34282.00;172
217.430;34282.00;175
218.685;34282.00;177
219.983;34282.00;179
221.031;34190.00;181
222.187;34190.00;183
223.391;34190.00;185
224.824;34190.00;187
225.973;34190.00;189
227.190;34190.00;192
228.681;34190.00;194
229.913;34190.00;196
231.127;34190.00;198
232.717;34190.00;200
233.905;34190.00;202
234.914;34190.00;204
236.227;34190.00;206
237.581;34190.00;208
239.023;34190.00;210
240.027;34190.00;212
241.324;34190.00;214
243.142;34190.00;217
244.676;34190.00;219
245.699;33916.00;221
246.865;33916.00;223
248.051;33916.00;225
249.123;33916.00;227
250.232;33916.00;228
251.462;33916.00;230
253.012;33916.00;232
254.128;33916.00;234
255.154;33916.00;236
256.209;33916.00;238
257.405;33916.00;240
258.560;33916.00;242
259.696;33916.00;243
261.163;33916.00;246
262.790;33916.00;248
264.004;33916.00;252
265.747;33916.00;257
266.999;33916.00;259
268.660;33916.00;262
270.078;33916.00;265
271.364;33916.00;267
272.889;33916.00;269
274.490;33916.00;273
275.825;33916.00;275
277.014;33916.00;277
278.066;33916.00;280
279.140;33916.00;282
280.839;33916.00;285
282.010;33916.00;287
283.300;33916.00;290
285.205;33916.00;293
286.400;33916.00;295
287.580;33916.00;297
289.080;33916.00;300
291.054;33916.00;303
292.334;33916.00;305
293.677;33916.00;307
295.010;33916.00;310
296.247;33916.00;312
297.867;33916.00;315
298.884;33916.00;317
300.413;33916.00;319
302.224;33916.00;321
303.510;33916.00;323
304.683;33916.00;325
306.325;33916.00;327
307.445;33916.00;329
308.684;33916.00;331
309.829;33916.00;334
311.208;33916.00;336
312.530;33916.00;339
313.974;33916.00;343
315.127;33916.00;345
316.459;33916.00;349
318.442;33916.00;352
319.841;33916.00;354
321.060;33872.00;357
322.558;33872.00;359
323.655;33872.00;361
324.825;33872.00;364
326.482;33872.00;366
327.756;33872.00;368
329.120;33872.00;370
330.133;33872.00;371
331.486;33872.00;373
332.747;33872.00;375
333.975;33801.00;379
335.397;33801.00;382
336.675;33801.00;385
337.765;33801.00;387
339.479;33801.00;389
340.557;33801.00;391
341.600;33801.00;393
343.053;33801.00;396
344.180;33801.00;399
345.351;33801.00;401
346.968;33801.00;403
348.384;33801.00;405
349.707;33801.00;408
350.760;33801.00;410
352.107;33801.00;411
353.328;33801.00;413
354.731;33801.00;415
355.955;33801.00;419
357.306;33801.00;422
358.418;33801.00;424
359.469;33801.00;427
360.618;33801.00;429
362.012;33801.00;432
363.271;33801.00;436
364.914;33801.00;438
366.163;33801.00;441
367.657;33801.00;443
369.196;33801.00;446
370.554;33801.00;449
372.154;33801.00;452
373.353;33801.00;455
374.831;33801.00;458
375.942;33801.00;461
377.062;33801.00;463
379.086;33801.00;466
380.502;33801.00;468
381.933;33801.00;470
383.477;33801.00;475
384.674;33801.00;478
385.746;33801.00;481
387.410;33801.00;484
388.444;33801.00;486
389.556;33801.00;489
390.559;33801.00;491
392.016;33801.00;494
393.436;33801.00;496
394.785;33801.00;498
395.847;33801.00;499
397.621;33801.00;502
399.015;33801.00;504
400.846;33801.00;506
402.062;33801.00;508
403.384;33801.00;510
404.450;33801.00;512
405.794;33801.00;515
407.182;33801.00;517
408.215;33801.00;520
409.559;33801.00;523
410.848;33801.00;527
412.009;33801.00;529
413.646;33801.00;531
415.008;33801.00;534
416.802;33801.00;536
418.870;33801.00;539
419.885;33801.00;541
421.098;33801.00;543
422.177;33801.00;546
423.378;33801.00;549
424.531;33801.00;551
425.800;33801.00;555
427.516;33801.00;558
428.676;33801.00;561
429.871;33801.00;563
430.988;33801.00;564
432.217;33801.00;567
433.666;33801.00;570
434.914;33801.00;572
436.047;33801.00;574
437.323;33801.00;576
438.518;33801.00;578
439.760;33801.00;580
441.270;33801.00;582
442.320;33801.00;584
443.939;33785.00;587
445.120;33785.00;589
446.384;33785.00;591
447.749;33557.00;594
448.808;33557.00;597
450.021;33557.00;599
451.358;33557.00;602
452.463;33557.00;605
453.942;33557.00;607
455.291;33557.00;609
456.505;33557.00;611
457.685;33557.00;613
458.995;33557.00;616
460.340;33557.00;619
461.513;33557.00;622
462.890;33557.00;624
463.909;33557.00;627
465.013;33557.00;629
466.014;33557.00;633
467.021;33557.00;635
468.524;33557.00;639
469.861;33557.00;642
471.633;33557.00;645
472.676;33557.00;648
474.124;33557.00;651
475.348;33557.00;654
476.842;33557.00;657
478.529;33557.00;659
480.030;33557.00;662
481.055;33557.00;664
482.061;33557.00;666
483.224;33557.00;669
484.819;33557.00;672
485.998;33557.00;674
487.558;33557.00;676
489.050;33557.00;679
490.506;33557.00;682
492.007;33557.00;684
493.229;33557.00;688
495.034;33557.00;691
496.843;33557.00;694
497.906;33557.00;697
499.020;33557.00;699
500.417;33557.00;701
501.866;33557.00;704
503.136;33557.00;706
504.184;33557.00;708
505.353;33557.00;710
506.371;33557.00;712
507.399;33557.00;714
508.438;33557.00;717
509.462;33557.00;719
510.869;33557.00;722
512.373;33549.00;726
513.389;33549.00;729
514.598;33549.00;732
515.916;33549.00;735
517.195;33549.00;737
518.577;33549.00;740
520.554;33549.00;743
521.732;33549.00;747
522.773;33549.00;750
524.094;33549.00;753
525.279;33549.00;756
526.779;33549.00;758
527.901;33549.00;764
529.078;33549.00;767
530.240;33549.00;769
531.294;33549.00;770
532.604;33549.00;772
533.680;33549.00;774
534.863;33549.00;776
536.305;33549.00;778
537.324;33549.00;780
538.365;33549.00;782
539.635;33549.00;785
541.232;33549.00;788
542.647;33549.00;791
543.684;33527.00;794
545.273;33527.00;800
546.685;33527.00;802
547.948;33527.00;804
549.170;33527.00;806
550.327;33527.00;808
551.592;33527.00;810
552.790;33527.00;811
554.492;33527.00;815
555.974;33527.00;817
557.047;33527.00;819
558.112;33527.00;821
559.166;33527.00;825
560.445;33527.00;828
561.871;33527.00;831
563.182;33527.00;833
564.420;33527.00;835
565.547;33527.00;837
566.806;33527.00;840
567.825;33527.00;843
