elapsed_sec;best_cost;iter
116.533;34958.00;0
123.989;34773.00;0
130.193;34773.00;1
136.824;34427.00;2
142.473;34427.00;3
148.212;34403.00;4
154.707;34403.00;5
159.963;34403.00;6
165.509;34403.00;7
171.392;34403.00;8
177.109;34403.00;9
182.757;34403.00;10
188.335;34403.00;11
193.253;34403.00;12
198.692;34403.00;13
203.503;34403.00;14
209.507;34403.00;15
215.222;34142.00;16
220.379;34142.00;17
225.134;34142.00;18
230.276;34142.00;19
234.867;34142.00;20
240.454;34142.00;21
246.849;34142.00;22
252.551;33923.00;23
259.180;33923.00;24
264.437;33923.00;25
269.472;33923.00;26
274.296;33923.00;27
280.680;33923.00;28
286.565;33923.00;29
292.083;33923.00;30
297.788;33923.00;31
303.160;33923.00;32
309.869;33923.00;33
315.576;33923.00;34
321.738;33884.00;35
327.140;33884.00;36
332.535;33884.00;37
338.226;33823.00;38
343.435;33823.00;39
349.086;33787.00;40
354.710;33787.00;41
361.057;33787.00;42
366.096;33787.00;43
371.351;33787.00;44
375.664;33787.00;45
381.704;33787.00;46
386.920;33780.00;47
392.036;33780.00;48
396.819;33780.00;49
401.062;33754.00;50
406.303;33754.00;51
410.660;33754.00;52
415.175;33754.00;53
421.172;33754.00;54
426.046;33754.00;55
431.094;33754.00;56
436.785;33754.00;57
441.598;33724.00;58
447.288;33724.00;59
451.671;33724.00;60
456.522;33724.00;61
462.502;33724.00;62
467.951;33724.00;63
471.903;33724.00;64
476.590;33724.00;65
481.203;33724.00;66
485.774;33724.00;67
491.138;33724.00;68
495.432;33724.00;69
500.476;33724.00;70
507.262;33724.00;71
511.950;33674.00;72
516.291;33674.00;73
520.890;33674.00;74
525.838;33674.00;75
530.848;33674.00;76
536.372;33674.00;77
541.727;33657.00;78
546.456;33657.00;79
551.833;33657.00;80
556.768;33657.00;81
562.804;33657.00;82
567.697;33657.00;83
572.437;33652.00;84
576.705;33652.00;85
581.602;33597.00;86
585.661;33597.00;87
589.987;33597.00;88
596.363;33597.00;89
601.603;33597.00;90
601.603;33597.00;91
