elapsed_sec;best_cost;iter
102.298;67841.00;0
103.417;67607.00;0
105.449;67232.00;2
106.482;67232.00;3
107.497;67103.00;4
109.511;67013.00;6
111.391;66925.00;8
112.427;66925.00;9
114.374;66793.00;11
115.489;66793.00;12
117.314;66793.00;14
118.341;66793.00;15
120.055;66646.00;17
121.940;66646.00;19
123.410;66547.00;21
125.178;66547.00;23
126.856;66547.00;25
128.524;66547.00;27
130.138;66086.00;29
131.629;66086.00;31
133.156;66086.00;33
134.845;66086.00;35
136.258;66086.00;37
137.908;66086.00;39
139.477;66086.00;41
141.459;66086.00;43
142.992;65997.00;45
144.457;65997.00;47
146.146;65997.00;49
147.837;65997.00;51
149.206;65987.00;53
150.876;65927.00;55
152.608;65927.00;57
154.080;65927.00;59
155.787;65927.00;61
157.360;65857.00;63
158.854;65857.00;65
160.296;65857.00;67
161.708;65857.00;69
163.298;65857.00;71
164.696;65857.00;73
166.304;65857.00;75
167.813;65577.00;77
169.301;65577.00;79
170.859;65577.00;81
172.438;65577.00;83
173.904;65521.00;85
175.396;65521.00;87
176.786;65521.00;89
178.526;65521.00;91
180.071;65521.00;93
181.457;65467.00;95
182.797;65467.00;97
184.238;65467.00;99
185.618;65467.00;101
187.236;65467.00;103
188.568;65368.00;105
190.151;65281.00;107
191.700;65281.00;109
193.141;65281.00;111
194.727;65236.00;113
196.132;65236.00;115
197.534;65223.00;117
198.900;65223.00;119
200.448;65223.00;121
201.839;65223.00;123
203.381;65172.00;125
204.891;65172.00;127
206.288;65172.00;129
207.785;65172.00;131
209.197;65172.00;133
210.407;65172.00;135
211.823;65172.00;137
213.227;65172.00;139
214.784;65167.00;141
216.178;65167.00;143
217.727;65167.00;145
219.037;65096.00;147
220.546;65096.00;149
222.102;65096.00;151
223.762;65096.00;153
225.186;65096.00;155
226.638;65087.00;157
228.389;65087.00;159
229.915;65087.00;161
231.480;64838.00;163
232.809;64838.00;165
234.313;64838.00;167
235.800;64838.00;169
237.276;64838.00;171
238.767;64838.00;173
240.368;64820.00;175
242.021;64820.00;177
243.526;64820.00;179
245.080;64820.00;181
246.533;64820.00;183
248.017;64816.00;185
249.580;64816.00;187
251.005;64802.00;189
252.583;64802.00;191
253.943;64756.00;193
255.288;64756.00;195
256.561;64756.00;197
258.064;64735.00;199
259.445;64718.00;201
