elapsed_sec;best_cost;iter
274.235;2376575.00;0
275.314;2373928.00;0
276.591;2373928.00;1
278.160;2373928.00;3
279.813;2373028.00;4
281.111;2373028.00;5
282.703;2373028.00;6
283.889;2373028.00;7
285.570;2372319.00;8
286.702;2372319.00;9
287.980;2372319.00;10
289.487;2372319.00;11
290.713;2372319.00;12
292.301;2372319.00;13
294.179;2372319.00;14
295.522;2372319.00;15
296.694;2372319.00;16
298.010;2372319.00;17
299.742;2371679.00;18
300.883;2371679.00;19
302.576;2371387.00;20
303.738;2371387.00;21
305.079;2371387.00;22
306.211;2371387.00;23
307.985;2371387.00;24
309.744;2371387.00;25
310.945;2371387.00;26
312.462;2371387.00;27
314.004;2371387.00;28
315.284;2370992.00;29
316.631;2370992.00;30
318.393;2370992.00;31
320.115;2370498.00;32
321.837;2367896.00;33
323.409;2367896.00;34
325.479;2367896.00;35
326.904;2367896.00;36
328.420;2367896.00;37
329.706;2367005.00;38
332.056;2367005.00;40
334.728;2367005.00;42
336.086;2367005.00;43
337.754;2367005.00;44
339.755;2367005.00;45
340.952;2367005.00;46
342.482;2367005.00;47
343.774;2367005.00;48
345.685;2367005.00;49
346.961;2367005.00;50
350.166;2367005.00;52
351.509;2367005.00;53
352.951;2367005.00;54
354.247;2367005.00;55
355.601;2367005.00;56
357.678;2367005.00;57
358.729;2367005.00;58
360.316;2367005.00;59
361.838;2367005.00;60
364.088;2367005.00;62
365.924;2367005.00;63
367.251;2367005.00;64
368.667;2367005.00;65
370.030;2367005.00;66
372.003;2367005.00;68
373.766;2367005.00;69
374.988;2367005.00;70
376.030;2367005.00;71
378.233;2367005.00;72
379.989;2367005.00;73
381.557;2367005.00;74
383.811;2367005.00;76
386.526;2367005.00;78
387.744;2367005.00;79
388.761;2367005.00;80
390.122;2367005.00;81
392.385;2367005.00;83
394.433;2367005.00;84
395.700;2367005.00;85
397.697;2367005.00;87
399.466;2367005.00;88
400.667;2367005.00;89
401.826;2367005.00;90
403.536;2367005.00;91
405.351;2367005.00;93
406.607;2367005.00;94
408.233;2367005.00;95
409.268;2367005.00;96
410.754;2367005.00;97
411.948;2367005.00;98
413.333;2366611.00;99
414.700;2366611.00;100
416.240;2366611.00;101
417.820;2366611.00;102
419.933;2366611.00;104
421.299;2366611.00;105
422.913;2366611.00;106
424.885;2366611.00;108
426.337;2366611.00;109
427.547;2366611.00;110
428.904;2366611.00;111
431.235;2366611.00;113
432.544;2366611.00;114
433.679;2366611.00;115
434.825;2366611.00;116
436.082;2366611.00;117
438.882;2366611.00;119
440.189;2366611.00;120
442.036;2366611.00;121
444.237;2366611.00;122
445.988;2366611.00;124
448.187;2366611.00;126
449.236;2366611.00;127
450.574;2366611.00;128
452.611;2366611.00;130
454.516;2366611.00;131
456.008;2366164.00;132
457.089;2366164.00;133
458.632;2366164.00;134
460.175;2366164.00;135
462.770;2366164.00;136
464.706;2366164.00;137
465.981;2366164.00;138
467.939;2366164.00;139
469.221;2366164.00;140
470.671;2366164.00;141
472.931;2366164.00;143
474.318;2366164.00;144
475.615;2366164.00;145
476.738;2366164.00;146
479.557;2366164.00;148
480.680;2366164.00;149
483.321;2366164.00;151
484.969;2366164.00;152
487.088;2366164.00;153
488.533;2366164.00;154
489.732;2366164.00;155
492.608;2366164.00;157
494.357;2366164.00;158
496.020;2366164.00;159
497.374;2366164.00;160
500.009;2366164.00;161
501.174;2366164.00;162
503.041;2366164.00;163
504.319;2366164.00;164
505.821;2366164.00;165
507.695;2366164.00;166
508.753;2366164.00;167
510.260;2366164.00;168
512.033;2366164.00;169
513.559;2366164.00;170
515.458;2366164.00;171
517.168;2366164.00;172
518.411;2366164.00;173
519.827;2366164.00;174
521.158;2366164.00;175
522.492;2366164.00;176
526.414;2366164.00;178
528.016;2366164.00;179
529.964;2366164.00;180
531.465;2366164.00;181
532.820;2366164.00;182
533.840;2366164.00;183
535.656;2366164.00;184
538.186;2366164.00;186
540.069;2366164.00;188
541.286;2366164.00;189
542.394;2366164.00;190
543.879;2366164.00;191
545.660;2366164.00;192
546.778;2366164.00;193
548.521;2366125.00;194
549.612;2366125.00;195
550.719;2366125.00;196
552.731;2366125.00;197
554.173;2366125.00;198
555.897;2366125.00;200
557.204;2366125.00;201
558.311;2366125.00;202
559.890;2365510.00;203
561.004;2365510.00;204
562.465;2365510.00;205
564.190;2365510.00;206
565.252;2365510.00;207
566.653;2365510.00;208
567.999;2365510.00;209
569.496;2365510.00;210
570.830;2365510.00;211
571.966;2365510.00;212
573.649;2365510.00;213
574.874;2365510.00;214
576.659;2365474.00;215
579.592;2365474.00;217
581.125;2365474.00;218
582.267;2365474.00;219
583.371;2365474.00;220
585.719;2365474.00;222
587.723;2365474.00;223
589.023;2365474.00;224
591.770;2365474.00;226
593.628;2365474.00;227
593.628;2365474.00;228
