elapsed_sec;best_cost;iter
126.264;2428689.00;0
181.905;2426784.00;0
191.842;2426784.00;1
196.983;2426784.00;2
200.689;2425084.00;3
203.261;2425058.00;4
205.918;2425058.00;5
208.906;2425058.00;6
212.133;2425058.00;7
215.150;2425058.00;8
218.559;2425058.00;9
221.976;2425058.00;10
225.137;2425058.00;11
228.635;2425058.00;12
230.760;2423962.00;13
233.730;2423962.00;14
237.009;2423962.00;15
238.997;2420390.00;16
241.673;2420390.00;17
244.643;2420390.00;18
247.270;2420390.00;19
250.335;2420390.00;20
253.301;2420390.00;21
256.002;2420390.00;22
259.103;2420390.00;23
261.830;2420390.00;24
264.811;2420390.00;25
266.403;2420390.00;26
268.594;2420390.00;27
270.139;2420390.00;28
271.992;2420390.00;29
273.986;2420390.00;30
276.616;2420390.00;31
278.393;2420390.00;32
280.109;2420390.00;33
282.009;2420390.00;34
283.919;2420132.00;35
285.552;2420132.00;36
287.890;2420132.00;37
290.118;2420132.00;38
291.965;2419207.00;39
293.428;2419207.00;40
295.211;2419207.00;41
297.347;2419207.00;42
299.438;2419207.00;43
300.934;2419207.00;44
302.563;2419207.00;45
304.910;2419207.00;46
307.159;2419207.00;47
309.135;2419207.00;48
312.127;2418437.00;49
315.720;2418437.00;50
319.269;2418437.00;51
321.644;2418437.00;52
324.784;2418437.00;53
330.814;2418437.00;54
335.866;2418437.00;55
343.455;2418437.00;56
346.232;2416110.00;57
349.361;2416110.00;58
352.613;2416110.00;59
355.305;2416110.00;60
358.513;2416110.00;61
361.410;2416110.00;62
365.113;2416110.00;63
377.931;2416110.00;64
391.563;2416110.00;65
400.438;2416110.00;66
403.372;2414120.00;67
407.212;2414120.00;68
416.242;2414120.00;69
422.286;2414120.00;70
426.841;2414120.00;71
430.206;2414120.00;72
432.914;2414120.00;73
435.279;2414120.00;74
437.357;2414120.00;75
439.869;2414120.00;76
442.751;2414120.00;77
445.822;2414120.00;78
449.045;2414120.00;79
451.991;2414120.00;80
454.747;2414120.00;81
457.698;2414120.00;82
460.924;2414120.00;83
463.915;2414120.00;84
466.604;2414120.00;85
490.329;2414120.00;86
